Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,Day,Month,Year
1,2020-01-30,6:00 PM,Kerala,1,0,0,0,1,30,1,2020
2,2020-01-31,6:00 PM,Kerala,1,0,0,0,1,31,1,2020
3,2020-02-01,6:00 PM,Kerala,2,0,0,0,2,1,2,2020
4,2020-02-02,6:00 PM,Kerala,3,0,0,0,3,2,2,2020
5,2020-02-03,6:00 PM,Kerala,3,0,0,0,3,3,2,2020
6,2020-02-04,6:00 PM,Kerala,3,0,0,0,3,4,2,2020
7,2020-02-05,6:00 PM,Kerala,3,0,0,0,3,5,2,2020
8,2020-02-06,6:00 PM,Kerala,3,0,0,0,3,6,2,2020
9,2020-02-07,6:00 PM,Kerala,3,0,0,0,3,7,2,2020
10,2020-02-08,6:00 PM,Kerala,3,0,0,0,3,8,2,2020
11,2020-02-09,6:00 PM,Kerala,3,0,0,0,3,9,2,2020
12,2020-02-10,6:00 PM,Kerala,3,0,0,0,3,10,2,2020
13,2020-02-11,6:00 PM,Kerala,3,0,0,0,3,11,2,2020
14,2020-02-12,6:00 PM,Kerala,3,0,0,0,3,12,2,2020
15,2020-02-13,6:00 PM,Kerala,3,0,0,0,3,13,2,2020
16,2020-02-14,6:00 PM,Kerala,3,0,0,0,3,14,2,2020
17,2020-02-15,6:00 PM,Kerala,3,0,0,0,3,15,2,2020
18,2020-02-16,6:00 PM,Kerala,3,0,0,0,3,16,2,2020
19,2020-02-17,6:00 PM,Kerala,3,0,0,0,3,17,2,2020
20,2020-02-18,6:00 PM,Kerala,3,0,0,0,3,18,2,2020
21,2020-02-19,6:00 PM,Kerala,3,0,0,0,3,19,2,2020
22,2020-02-20,6:00 PM,Kerala,3,0,0,0,3,20,2,2020
23,2020-02-21,6:00 PM,Kerala,3,0,0,0,3,21,2,2020
24,2020-02-22,6:00 PM,Kerala,3,0,0,0,3,22,2,2020
25,2020-02-23,6:00 PM,Kerala,3,0,0,0,3,23,2,2020
26,2020-02-24,6:00 PM,Kerala,3,0,0,0,3,24,2,2020
27,2020-02-25,6:00 PM,Kerala,3,0,0,0,3,25,2,2020
28,2020-02-26,6:00 PM,Kerala,3,0,0,0,3,26,2,2020
29,2020-02-27,6:00 PM,Kerala,3,0,0,0,3,27,2,2020
30,2020-02-28,6:00 PM,Kerala,3,0,0,0,3,28,2,2020
31,2020-02-29,6:00 PM,Kerala,3,0,0,0,3,29,2,2020
32,2020-03-01,6:00 PM,Kerala,3,0,0,0,3,1,3,2020
33,2020-03-02,6:00 PM,Telengana,1,0,0,0,1,2,3,2020
34,2020-03-02,6:00 PM,Kerala,3,0,0,0,3,2,3,2020
35,2020-03-02,6:00 PM,Delhi,1,0,0,0,1,2,3,2020
36,2020-03-03,6:00 PM,Telengana,1,0,0,0,1,3,3,2020
37,2020-03-03,6:00 PM,Rajasthan,0,1,0,0,1,3,3,2020
38,2020-03-03,6:00 PM,Kerala,3,0,3,0,3,3,3,2020
39,2020-03-03,6:00 PM,Delhi,1,0,0,0,1,3,3,2020
40,2020-03-04,6:00 PM,Uttar Pradesh,6,0,0,0,6,4,3,2020
41,2020-03-04,6:00 PM,Kerala,3,0,3,0,3,4,3,2020
42,2020-03-04,6:00 PM,Haryana,0,2,0,0,2,4,3,2020
43,2020-03-04,6:00 PM,Delhi,1,0,0,0,1,4,3,2020
44,2020-03-04,6:00 PM,Telengana,1,0,0,0,1,4,3,2020
45,2020-03-04,6:00 PM,Rajasthan,1,14,0,0,15,4,3,2020
46,2020-03-05,6:00 PM,Delhi,2,0,0,0,2,5,3,2020
47,2020-03-05,6:00 PM,Haryana,0,2,0,0,2,5,3,2020
48,2020-03-05,6:00 PM,Kerala,3,0,3,0,3,5,3,2020
49,2020-03-05,6:00 PM,Rajasthan,1,14,0,0,15,5,3,2020
50,2020-03-05,6:00 PM,Telengana,1,0,0,0,1,5,3,2020
51,2020-03-05,6:00 PM,Uttar Pradesh,7,0,0,0,7,5,3,2020
52,2020-03-06,6:00 PM,Delhi,3,0,0,0,3,6,3,2020
53,2020-03-06,6:00 PM,Haryana,0,2,0,0,2,6,3,2020
54,2020-03-06,6:00 PM,Kerala,3,0,3,0,3,6,3,2020
55,2020-03-06,6:00 PM,Rajasthan,1,14,0,0,15,6,3,2020
56,2020-03-06,6:00 PM,Uttar Pradesh,7,0,0,0,7,6,3,2020
57,2020-03-06,6:00 PM,Telengana,1,0,0,0,1,6,3,2020
58,2020-03-07,6:00 PM,Kerala,3,0,3,0,3,7,3,2020
59,2020-03-07,6:00 PM,Uttar Pradesh,7,0,0,0,7,7,3,2020
60,2020-03-07,6:00 PM,Ladakh,2,0,0,0,2,7,3,2020
61,2020-03-07,6:00 PM,Telengana,1,0,0,0,1,7,3,2020
62,2020-03-07,6:00 PM,Tamil Nadu,1,0,0,0,1,7,3,2020
63,2020-03-07,6:00 PM,Delhi,3,0,0,0,3,7,3,2020
64,2020-03-07,6:00 PM,Haryana,0,2,0,0,2,7,3,2020
65,2020-03-07,6:00 PM,Rajasthan,1,14,0,0,15,7,3,2020
66,2020-03-08,6:00 PM,Ladakh,2,0,0,0,2,8,3,2020
67,2020-03-08,6:00 PM,Telengana,1,0,0,0,1,8,3,2020
68,2020-03-08,6:00 PM,Tamil Nadu,1,0,0,0,1,8,3,2020
69,2020-03-08,6:00 PM,Rajasthan,1,14,0,0,15,8,3,2020
70,2020-03-08,6:00 PM,Kerala,8,0,3,0,8,8,3,2020
71,2020-03-08,6:00 PM,Haryana,0,2,0,0,2,8,3,2020
72,2020-03-08,6:00 PM,Delhi,3,0,0,0,3,8,3,2020
73,2020-03-08,6:00 PM,Uttar Pradesh,7,0,0,0,7,8,3,2020
74,2020-03-09,6:00 PM,Ladakh,2,0,0,0,2,9,3,2020
75,2020-03-09,6:00 PM,Karnataka,1,0,0,0,1,9,3,2020
76,2020-03-09,6:00 PM,Kerala,9,0,3,0,9,9,3,2020
77,2020-03-09,6:00 PM,Maharashtra,2,0,0,0,2,9,3,2020
78,2020-03-09,6:00 PM,Punjab,1,0,0,0,1,9,3,2020
79,2020-03-09,6:00 PM,Rajasthan,1,14,0,0,15,9,3,2020
80,2020-03-09,6:00 PM,Tamil Nadu,1,0,0,0,1,9,3,2020
81,2020-03-09,6:00 PM,Telengana,1,0,0,0,1,9,3,2020
82,2020-03-09,6:00 PM,Jammu and Kashmir,1,0,0,0,1,9,3,2020
83,2020-03-09,6:00 PM,Uttar Pradesh,7,0,0,0,7,9,3,2020
84,2020-03-09,6:00 PM,Haryana,0,2,0,0,2,9,3,2020
85,2020-03-09,6:00 PM,Delhi,4,0,0,0,4,9,3,2020
86,2020-03-10,6:00 PM,Uttar Pradesh,7,0,0,0,7,10,3,2020
87,2020-03-10,6:00 PM,Ladakh,2,0,0,0,2,10,3,2020
88,2020-03-10,6:00 PM,Delhi,4,0,0,0,4,10,3,2020
89,2020-03-10,6:00 PM,Haryana,0,2,0,0,2,10,3,2020
90,2020-03-10,6:00 PM,Karnataka,4,0,0,0,4,10,3,2020
91,2020-03-10,6:00 PM,Kerala,15,0,3,0,15,10,3,2020
92,2020-03-10,6:00 PM,Maharashtra,5,0,0,0,5,10,3,2020
93,2020-03-10,6:00 PM,Punjab,1,0,0,0,1,10,3,2020
94,2020-03-10,6:00 PM,Rajasthan,1,14,0,0,15,10,3,2020
95,2020-03-10,6:00 PM,Tamil Nadu,1,0,0,0,1,10,3,2020
96,2020-03-10,6:00 PM,Telengana,1,0,0,0,1,10,3,2020
97,2020-03-10,6:00 PM,Jammu and Kashmir,1,0,0,0,1,10,3,2020
98,2020-03-11,6:00 PM,Maharashtra,2,0,0,0,2,11,3,2020
99,2020-03-11,6:00 PM,Delhi,5,0,0,0,5,11,3,2020
100,2020-03-11,6:00 PM,Haryana,0,14,0,0,14,11,3,2020
101,2020-03-11,6:00 PM,Kerala,17,0,3,0,17,11,3,2020
102,2020-03-11,6:00 PM,Rajasthan,1,2,0,0,3,11,3,2020
103,2020-03-11,6:00 PM,Telengana,1,0,0,0,1,11,3,2020
104,2020-03-11,6:00 PM,Uttar Pradesh,9,0,0,0,9,11,3,2020
105,2020-03-11,6:00 PM,Ladakh,2,0,0,0,2,11,3,2020
106,2020-03-11,6:00 PM,Tamil Nadu,1,0,0,0,1,11,3,2020
107,2020-03-11,6:00 PM,Jammu and Kashmir,1,0,0,0,1,11,3,2020
108,2020-03-11,6:00 PM,Punjab,1,0,0,0,1,11,3,2020
109,2020-03-11,6:00 PM,Karnataka,4,0,0,0,4,11,3,2020
110,2020-03-12,6:00 PM,Delhi,6,0,0,0,6,12,3,2020
111,2020-03-12,6:00 PM,Haryana,0,14,0,0,14,12,3,2020
112,2020-03-12,6:00 PM,Kerala,17,0,3,0,17,12,3,2020
113,2020-03-12,6:00 PM,Rajasthan,1,2,0,0,3,12,3,2020
114,2020-03-12,6:00 PM,Telengana,1,0,0,0,1,12,3,2020
115,2020-03-12,6:00 PM,Uttar Pradesh,10,1,0,0,11,12,3,2020
116,2020-03-12,6:00 PM,Ladakh,3,0,0,0,3,12,3,2020
117,2020-03-12,6:00 PM,Tamil Nadu,1,0,0,0,1,12,3,2020
118,2020-03-12,6:00 PM,Jammu and Kashmir,1,0,0,0,1,12,3,2020
119,2020-03-12,6:00 PM,Punjab,1,0,0,0,1,12,3,2020
120,2020-03-12,6:00 PM,Karnataka,4,0,0,0,4,12,3,2020
121,2020-03-12,6:00 PM,Maharashtra,11,0,0,0,11,12,3,2020
122,2020-03-12,6:00 PM,Andhra Pradesh,1,0,0,0,1,12,3,2020
123,2020-03-13,6:00 PM,Delhi,6,0,0,0,6,13,3,2020
124,2020-03-13,6:00 PM,Haryana,0,14,0,0,14,13,3,2020
125,2020-03-13,6:00 PM,Kerala,19,0,3,0,19,13,3,2020
126,2020-03-13,6:00 PM,Rajasthan,1,2,0,0,3,13,3,2020
127,2020-03-13,6:00 PM,Telengana,1,0,0,0,1,13,3,2020
128,2020-03-13,6:00 PM,Uttar Pradesh,10,1,0,0,11,13,3,2020
129,2020-03-13,6:00 PM,Ladakh,3,0,0,0,3,13,3,2020
130,2020-03-13,6:00 PM,Tamil Nadu,1,0,0,0,1,13,3,2020
131,2020-03-13,6:00 PM,Jammu and Kashmir,1,0,0,0,1,13,3,2020
132,2020-03-13,6:00 PM,Punjab,1,0,0,0,1,13,3,2020
133,2020-03-13,6:00 PM,Karnataka,6,0,0,1,6,13,3,2020
134,2020-03-13,6:00 PM,Maharashtra,14,0,0,0,14,13,3,2020
135,2020-03-13,6:00 PM,Andhra Pradesh,1,0,0,0,1,13,3,2020
136,2020-03-14,6:00 PM,Delhi,7,0,1,1,7,14,3,2020
137,2020-03-14,6:00 PM,Haryana,0,14,0,0,14,14,3,2020
138,2020-03-14,6:00 PM,Kerala,19,0,3,0,19,14,3,2020
139,2020-03-14,6:00 PM,Rajasthan,1,2,1,0,3,14,3,2020
140,2020-03-14,6:00 PM,Telengana,1,0,0,0,1,14,3,2020
141,2020-03-14,6:00 PM,Uttar Pradesh,11,1,5,0,12,14,3,2020
142,2020-03-14,6:00 PM,Ladakh,3,0,0,0,3,14,3,2020
143,2020-03-14,6:00 PM,Tamil Nadu,1,0,0,0,1,14,3,2020
144,2020-03-14,6:00 PM,Jammu and Kashmir,2,0,0,0,2,14,3,2020
145,2020-03-14,6:00 PM,Punjab,1,0,0,0,1,14,3,2020
146,2020-03-14,6:00 PM,Karnataka,6,0,0,1,6,14,3,2020
147,2020-03-14,6:00 PM,Maharashtra,14,0,0,0,14,14,3,2020
148,2020-03-14,6:00 PM,Andhra Pradesh,1,0,0,0,1,14,3,2020
149,2020-03-15,6:00 PM,Andhra Pradesh,1,0,0,0,1,15,3,2020
150,2020-03-15,6:00 PM,Delhi,7,0,2,1,7,15,3,2020
151,2020-03-15,6:00 PM,Haryana,0,14,0,0,14,15,3,2020
152,2020-03-15,6:00 PM,Karnataka,6,0,0,1,6,15,3,2020
153,2020-03-15,6:00 PM,Kerala,22,0,3,0,22,15,3,2020
154,2020-03-15,6:00 PM,Maharashtra,32,0,0,0,32,15,3,2020
155,2020-03-15,6:00 PM,Punjab,1,0,0,0,1,15,3,2020
156,2020-03-15,6:00 PM,Rajasthan,2,2,3,0,4,15,3,2020
157,2020-03-15,6:00 PM,Tamil Nadu,1,0,0,0,1,15,3,2020
158,2020-03-15,6:00 PM,Telengana,3,0,1,0,3,15,3,2020
159,2020-03-15,6:00 PM,Jammu and Kashmir,2,0,0,0,2,15,3,2020
160,2020-03-15,6:00 PM,Ladakh,3,0,0,0,3,15,3,2020
161,2020-03-15,6:00 PM,Uttar Pradesh,12,1,4,0,13,15,3,2020
162,2020-03-15,6:00 PM,Uttarakhand,1,0,0,0,1,15,3,2020
163,2020-03-16,6:00 PM,Andhra Pradesh,1,0,0,0,1,16,3,2020
164,2020-03-16,6:00 PM,Delhi,7,0,2,1,7,16,3,2020
165,2020-03-16,6:00 PM,Haryana,0,14,0,0,14,16,3,2020
166,2020-03-16,6:00 PM,Karnataka,6,0,0,1,6,16,3,2020
167,2020-03-16,6:00 PM,Kerala,23,0,3,0,23,16,3,2020
168,2020-03-16,6:00 PM,Maharashtra,32,0,0,0,32,16,3,2020
169,2020-03-16,6:00 PM,Odisha,1,0,0,0,1,16,3,2020
170,2020-03-16,6:00 PM,Punjab,1,0,0,0,1,16,3,2020
171,2020-03-16,6:00 PM,Rajasthan,2,2,3,0,4,16,3,2020
172,2020-03-16,6:00 PM,Tamil Nadu,1,0,0,0,1,16,3,2020
173,2020-03-16,6:00 PM,Telengana,3,0,1,0,3,16,3,2020
174,2020-03-16,6:00 PM,Jammu and Kashmir,3,0,0,0,3,16,3,2020
175,2020-03-16,6:00 PM,Ladakh,4,0,0,0,4,16,3,2020
176,2020-03-16,6:00 PM,Uttar Pradesh,12,1,4,0,13,16,3,2020
177,2020-03-16,6:00 PM,Uttarakhand,1,0,0,0,1,16,3,2020
178,2020-03-17,6:00 PM,Andhra Pradesh,1,0,0,0,1,17,3,2020
179,2020-03-17,6:00 PM,Delhi,8,0,2,1,8,17,3,2020
180,2020-03-17,6:00 PM,Haryana,1,14,0,0,15,17,3,2020
181,2020-03-17,6:00 PM,Karnataka,11,0,0,1,11,17,3,2020
182,2020-03-17,6:00 PM,Kerala,24,2,3,0,26,17,3,2020
183,2020-03-17,6:00 PM,Maharashtra,36,3,0,1,39,17,3,2020
184,2020-03-17,6:00 PM,Odisha,1,0,0,0,1,17,3,2020
185,2020-03-17,6:00 PM,Punjab,1,0,0,0,1,17,3,2020
186,2020-03-17,6:00 PM,Rajasthan,2,2,3,0,4,17,3,2020
187,2020-03-17,6:00 PM,Tamil Nadu,1,0,0,0,1,17,3,2020
188,2020-03-17,6:00 PM,Telengana,3,2,1,0,5,17,3,2020
189,2020-03-17,6:00 PM,Jammu and Kashmir,3,0,0,0,3,17,3,2020
190,2020-03-17,6:00 PM,Ladakh,6,0,0,0,6,17,3,2020
191,2020-03-17,6:00 PM,Uttar Pradesh,14,1,5,0,15,17,3,2020
192,2020-03-17,6:00 PM,Uttarakhand,1,0,0,0,1,17,3,2020
193,2020-03-18,6:00 PM,Andhra Pradesh,1,0,0,0,1,18,3,2020
194,2020-03-18,6:00 PM,Delhi,9,1,2,1,10,18,3,2020
195,2020-03-18,6:00 PM,Haryana,3,14,0,0,17,18,3,2020
196,2020-03-18,6:00 PM,Karnataka,11,0,0,1,11,18,3,2020
197,2020-03-18,6:00 PM,Kerala,25,2,3,0,27,18,3,2020
198,2020-03-18,6:00 PM,Maharashtra,39,3,0,1,42,18,3,2020
199,2020-03-18,6:00 PM,Odisha,1,0,0,0,1,18,3,2020
200,2020-03-18,6:00 PM,Puducherry,1,0,0,0,1,18,3,2020
201,2020-03-18,6:00 PM,Punjab,1,0,0,0,1,18,3,2020
202,2020-03-18,6:00 PM,Rajasthan,2,2,3,0,4,18,3,2020
203,2020-03-18,6:00 PM,Tamil Nadu,1,0,0,0,1,18,3,2020
204,2020-03-18,6:00 PM,Telengana,4,2,1,0,6,18,3,2020
205,2020-03-18,6:00 PM,Jammu and Kashmir,3,0,0,0,3,18,3,2020
206,2020-03-18,6:00 PM,Ladakh,8,0,0,0,8,18,3,2020
207,2020-03-18,6:00 PM,Uttar Pradesh,15,1,5,0,16,18,3,2020
208,2020-03-18,6:00 PM,Uttarakhand,1,0,0,0,1,18,3,2020
209,2020-03-18,6:00 PM,West Bengal,1,0,0,0,1,18,3,2020
210,2020-03-19,6:00 PM,Andhra Pradesh,2,0,0,0,2,19,3,2020
211,2020-03-19,6:00 PM,Chhattisgarh,1,0,0,0,1,19,3,2020
212,2020-03-19,6:00 PM,Delhi,11,1,3,1,12,19,3,2020
213,2020-03-19,6:00 PM,Haryana,3,14,0,0,17,19,3,2020
214,2020-03-19,6:00 PM,Karnataka,14,0,0,1,14,19,3,2020
215,2020-03-19,6:00 PM,Kerala,25,2,3,0,27,19,3,2020
216,2020-03-19,6:00 PM,Maharashtra,44,3,0,1,47,19,3,2020
217,2020-03-19,6:00 PM,Odisha,1,0,0,0,1,19,3,2020
218,2020-03-19,6:00 PM,Puducherry,1,0,0,0,1,19,3,2020
219,2020-03-19,6:00 PM,Punjab,2,0,0,1,2,19,3,2020
220,2020-03-19,6:00 PM,Rajasthan,5,2,3,0,7,19,3,2020
221,2020-03-19,6:00 PM,Tamil Nadu,2,0,1,0,2,19,3,2020
222,2020-03-19,6:00 PM,Telengana,4,2,1,0,6,19,3,2020
223,2020-03-19,6:00 PM,Chandigarh,1,0,0,0,1,19,3,2020
224,2020-03-19,6:00 PM,Jammu and Kashmir,4,0,0,0,4,19,3,2020
225,2020-03-19,6:00 PM,Ladakh,8,0,0,0,8,19,3,2020
226,2020-03-19,6:00 PM,Uttar Pradesh,18,1,9,0,19,19,3,2020
227,2020-03-19,6:00 PM,Uttarakhand,1,0,0,0,1,19,3,2020
228,2020-03-19,6:00 PM,West Bengal,1,0,0,0,1,19,3,2020
229,2020-03-20,6:00 PM,Andhra Pradesh,3,0,0,0,3,20,3,2020
230,2020-03-20,6:00 PM,Chhattisgarh,1,0,0,0,1,20,3,2020
231,2020-03-20,6:00 PM,Delhi,16,1,5,1,17,20,3,2020
232,2020-03-20,6:00 PM,Gujarat,5,0,0,0,5,20,3,2020
233,2020-03-20,6:00 PM,Haryana,3,14,0,0,17,20,3,2020
234,2020-03-20,6:00 PM,Karnataka,15,0,1,1,15,20,3,2020
235,2020-03-20,6:00 PM,Kerala,26,2,3,0,28,20,3,2020
236,2020-03-20,6:00 PM,Maharashtra,49,3,0,1,52,20,3,2020
237,2020-03-20,6:00 PM,Odisha,2,0,0,0,2,20,3,2020
238,2020-03-20,6:00 PM,Puducherry,1,0,0,0,1,20,3,2020
239,2020-03-20,6:00 PM,Punjab,2,0,0,1,2,20,3,2020
240,2020-03-20,6:00 PM,Rajasthan,15,2,3,0,17,20,3,2020
